,Pick,Team,Name,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,Height,Weight,Birthday,Position1,Position2,Position3,All_Star_apps,All_NBA_apps,All_Def_apps,HOF
635,26,DET,Lance Blanks,Texas,3,142,1045,289,110,117,.436,.253,.667,7.4,2.0,0.8,0.8,0.7,.031,-3.2,-0.3,1990,193cm,86kg,1966-09-09,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
636,27,LAL,Elden Campbell,Clemson,15,1044,25776,10805,6116,1199,.460,.054,.699,24.7,10.3,5.9,1.1,62.8,.117,-0.5,9.5,1990,211cm,97kg,1968-07-23,Center,Power Forward,Center,0,0,0,0
637,28,GSW,Les Jepsen,Iowa,2,52,192,53,67,2,.333,.000,.650,3.7,1.0,1.3,0.0,0.1,.031,-8.0,-0.3,1990,213cm,107kg,1967-06-24,Center,Center,Center,0,0,0,0
638,29,CHI,Toni Kukoč,,13,846,22212,9810,3555,3119,.447,.335,.729,26.3,11.6,4.2,3.7,59.6,.129,2.8,27.2,1990,208cm,87kg,1968-09-18,Power Forward,Small Forward,Power Forward,0,0,0,0
639,30,MIA,Carl Herrera,Houston,8,465,8042,2481,1690,261,.476,.143,.643,17.3,5.3,3.6,0.6,9.0,.054,-3.7,-3.4,1990,206cm,97kg,1966-12-14,Power Forward,Power Forward,Power Forward,0,0,0,0
640,31,PHO,Negele Knight,Dayton,6,276,4513,1699,351,780,.436,.263,.730,16.4,6.2,1.3,2.8,4.2,.044,-3.0,-1.1,1990,185cm,79kg,1967-03-06,Point Guard,Point Guard,Point Guard,0,0,0,0
641,32,PHI,Brian Oliver,Georgia Tech,4,118,1182,389,123,114,.388,.227,.705,10.0,3.3,1.0,1.0,-0.5,-.020,-5.9,-1.2,1990,193cm,95kg,1968-06-01,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
642,33,UTA,Walter Palmer,Dartmouth College,2,48,209,100,65,11,.412,.000,.667,4.4,2.1,1.4,0.2,-0.1,-.013,-6.7,-0.2,1990,216cm,97kg,1968-10-23,Center,Center,Center,0,0,0,0
643,34,GSW,Kevin Pritchard,Kansas,4,94,1125,340,90,152,.399,.186,.790,12.0,3.6,1.0,1.6,0.4,.017,-4.0,-0.6,1990,190cm,81kg,1967-07-17,Point Guard,Point Guard,Point Guard,0,0,0,0
644,35,WSB,Greg Foster,Texas-El Paso,13,656,7974,2538,1691,351,.440,.225,.748,12.2,3.9,2.6,0.5,5.6,.033,-5.5,-7.0,1990,211cm,108kg,1968-10-03,Center,Power Forward,Center,0,0,0,0
645,36,ATL,Trevor Wilson,UCLA,4,103,1609,591,353,99,.456,.000,.567,15.6,5.7,3.4,1.0,0.8,.023,-3.4,-0.6,1990,201cm,95kg,1968-03-16,Power Forward,Power Forward,Power Forward,0,0,0,0
646,37,WSB,A.J. English,Virginia Union University,2,151,3108,1502,315,320,.435,.138,.778,20.6,9.9,2.1,2.1,1.1,.017,-3.9,-1.5,1990,190cm,79kg,1967-07-11,Shooting Guard,Center,Shooting Guard,0,0,0,0
647,38,SEA,Jud Buechler,Arizona,12,720,8444,2385,1266,560,.433,.366,.633,11.7,3.3,1.8,0.8,16.5,.094,-0.1,4.0,1990,198cm,99kg,1968-06-19,Small Forward,Small Forward,Small Forward,0,0,0,0
648,39,CHH,Steve Scheffler,Purdue,7,174,918,331,180,26,.558,.200,.759,5.3,1.9,1.0,0.1,2.9,.153,-1.9,0.0,1990,206cm,113kg,1967-09-03,Center,Center,Center,0,0,0,0
649,40,SAC,Bimbo Coles,Virginia Tech,14,852,20319,6628,1820,3313,.425,.267,.811,23.8,7.8,2.1,3.9,27.4,.065,-1.6,1.9,1990,185cm,81kg,1968-04-22,Point Guard,Point Guard,Point Guard,0,0,0,0
650,41,ATL,Steve Bardo,Illinois,3,33,299,73,60,44,.329,.100,.696,9.1,2.2,1.8,1.3,-0.1,-.020,-4.0,-0.2,1990,196cm,86kg,1968-04-05,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
651,42,DEN,Marcus Liberty,Illinois,4,267,4568,1942,925,244,.417,.340,.664,17.1,7.3,3.5,0.9,4.0,.042,-2.6,-0.7,1990,203cm,92kg,1968-10-27,Small Forward,Small Forward,Small Forward,0,0,0,0
652,43,SAS,Tony Massenburg,Maryland,13,683,12291,4238,2964,266,.470,.091,.705,18.0,6.2,4.3,0.4,15.6,.061,-4.5,-7.8,1990,206cm,99kg,1967-07-31,Center,Power Forward,Center,0,0,0,0
653,44,MIL,Steve Henson,Kansas State,7,238,2282,739,176,465,.403,.432,.869,9.6,3.1,0.7,2.0,3.8,.079,-1.8,0.1,1990,180cm,80kg,1968-02-02,Point Guard,Point Guard,Point Guard,0,0,0,0
654,45,IND,Antonio Davis,Texas-El Paso,13,903,26084,9041,6755,1017,.448,.087,.727,28.9,10.0,7.5,1.1,59.6,.110,-1.3,4.4,1990,206cm,97kg,1968-10-31,Center,Power Forward,Center,1,0,0,0
655,46,IND,Kenny Williams,Elizabeth City State University,4,260,2918,1247,693,161,.511,.000,.680,11.2,4.8,2.7,0.6,7.4,.122,0.1,1.5,1990,206cm,92kg,1969-06-09,Power Forward,Small Forward,Power Forward,0,0,0,0
656,47,PHI,Derek Strong,Xavier,10,456,8548,3088,2213,291,.430,.180,.786,18.7,6.8,4.9,0.6,18.5,.104,-2.1,-0.3,1990,203cm,99kg,1968-02-09,Power Forward,Power Forward,Power Forward,0,0,0,0
657,48,PHO,Cedric Ceballos,Cal State Fullerton,11,609,14712,8693,3258,723,.500,.309,.753,24.2,14.3,5.3,1.2,40.4,.132,0.7,10.0,1990,198cm,86kg,1969-08-02,Small Forward,Small Forward,Small Forward,1,0,0,0
658,49,DAL,Phil Henderson,Duke,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,
659,50,PHO,Miloš Babić,Tennessee Technological University,2,21,87,37,20,10,.375,,.650,4.1,1.8,1.0,0.5,-0.1,-.028,-5.9,-0.1,1990,213cm,108kg,1968-11-23,Center,Power Forward,Center,0,0,0,0
660,51,LAL,Tony Smith,Marquette,9,457,7295,2504,735,881,.431,.307,.690,16.0,5.5,1.6,1.9,6.7,.044,-2.0,0.0,1990,190cm,83kg,1968-06-14,Point Guard,Shooting Guard,Point Guard,0,0,0,0
661,52,CLE,Stefano Rusconi,,1,7,30,8,6,3,.333,,.400,4.3,1.1,0.9,0.4,-0.1,-.104,-11.4,-0.1,1990,206cm,108kg,1968-10-02,Power Forward,Power Forward,Power Forward,0,0,0,0
662,53,SEA,Abdul Shamsid-Deen,Providence,,,,,,,,,,,,,,,,,,1990,,,,,,,,,,
663,54,SAS,Sean Higgins,Michigan,6,220,3334,1375,402,226,.428,.321,.850,15.2,6.3,1.8,1.0,0.4,.006,-4.7,-2.3,1990,206cm,92kg,1968-12-30,Power Forward,Small Forward,Power Forward,0,0,0,0
664,1,CHH,Larry Johnson,UNLV,10,707,25685,11450,5300,2298,.484,.332,.766,36.3,16.2,7.5,3.3,69.7,.130,1.4,21.9,1991,198cm,113kg,1969-03-14,Power Forward,Small Forward,Power Forward,2,0,0,0
665,2,NJN,Kenny Anderson,Georgia Tech,14,858,25868,10789,2641,5196,.421,.346,.790,30.1,12.6,3.1,6.1,62.5,.116,1.4,21.9,1991,183cm,76kg,1970-10-09,Point Guard,Point Guard,Point Guard,1,0,0,0
666,3,SAC,Billy Owens,Syracuse,10,600,17619,7026,4016,1704,.481,.291,.629,29.4,11.7,6.7,2.8,28.6,.078,-0.2,7.8,1991,203cm,99kg,1969-05-01,Power Forward,Small Forward,Shooting Guard,0,0,0,0
667,4,DEN,Dikembe Mutombo,Georgetown,18,1196,36791,11729,12359,1240,.518,.000,.684,30.8,9.8,10.3,1.0,117.0,.153,1.7,34.0,1991,218cm,111kg,1966-06-25,Center,Center,Center,8,3,6,Hall of Fame
668,5,MIA,Steve Smith,Michigan State,14,942,28855,13430,3060,2922,.440,.358,.845,30.6,14.3,3.2,3.1,83.7,.139,1.4,24.6,1991,201cm,90kg,1969-03-31,Shooting Guard,Shooting Guard,Shooting Guard,1,0,0,0
669,6,DAL,Doug Smith,Missouri,5,296,5833,2356,1234,400,.425,.083,.773,19.7,8.0,4.2,1.4,3.0,.024,-3.6,-2.4,1991,208cm,99kg,1969-09-17,Power Forward,Power Forward,Power Forward,0,0,0,0
670,7,MIN,Luc Longley,New Mexico,10,567,12006,4090,2794,836,.462,.000,.760,21.2,7.2,4.9,1.5,17.5,.070,-2.6,-1.9,1991,218cm,120kg,1969-01-19,Center,Center,Center,0,0,0,0
671,8,DEN,Mark Macon,Temple,6,251,5018,1685,467,428,.384,.270,.735,20.0,6.7,1.9,1.7,0.1,.001,-3.7,-2.2,1991,196cm,83kg,1969-04-14,Point Guard,Shooting Guard,Point Guard,0,0,0,0
672,9,ATL,Stacey Augmon,UNLV,15,1001,21658,7990,3216,1561,.469,.152,.728,21.6,8.0,3.2,1.6,43.8,.097,-0.2,9.8,1991,203cm,92kg,1968-08-01,Small Forward,Shooting Guard,Small Forward,0,0,0,0
673,10,ORL,Bison Dele,Arizona,8,413,10004,4536,2564,440,.528,.143,.691,24.2,11.0,6.2,1.1,22.8,.109,-0.6,3.4,1991,206cm,106kg,1969-04-06,Center,Power Forward,Center,0,0,0,0
674,11,CLE,Terrell Brandon,Oregon,11,724,21545,9994,2174,4407,.448,.355,.873,29.8,13.8,3.0,6.1,65.9,.147,3.6,30.3,1991,180cm,81kg,1970-05-20,Point Guard,Point Guard,Point Guard,2,0,0,0
675,12,NYK,Greg Anthony,UNLV,11,757,15850,5497,1417,2997,.403,.349,.733,20.9,7.3,1.9,4.0,35.9,.109,1.3,13.3,1991,183cm,79kg,1967-11-15,Point Guard,Point Guard,Point Guard,0,0,0,0
676,13,IND,Dale Davis,Clemson,16,1094,29606,8706,8605,978,.530,.000,.562,27.1,8.0,7.9,0.9,86.9,.141,0.5,18.4,1991,211cm,104kg,1969-03-25,Center,Power Forward,Center,1,0,0,0
677,14,SEA,Rich King,Nebraska,4,72,309,135,74,21,.393,.000,.662,4.3,1.9,1.0,0.3,0.2,.036,-6.9,-0.4,1991,218cm,117kg,1969-04-04,Center,Center,Center,0,0,0,0
678,15,ATL,Anthony Avent,Seton Hall,6,352,6729,1958,1584,278,.403,.000,.686,19.1,5.6,4.5,0.8,0.3,.002,-5.7,-6.4,1991,206cm,106kg,1969-10-18,Power Forward,Power Forward,Power Forward,0,0,0,0
679,16,GSW,Chris Gatling,Old Dominion,11,700,13760,7232,3741,461,.513,.249,.660,19.7,10.3,5.3,0.7,32.1,.112,-1.1,3.2,1991,208cm,99kg,1967-09-03,Center,Power Forward,Center,1,0,0,0
680,17,GSW,Victor Alexander,Iowa State,5,286,5755,2542,1384,257,.518,.286,.634,20.1,8.9,4.8,0.9,8.8,.073,-2.2,-0.3,1991,206cm,120kg,1969-08-31,Center,Center,Center,0,0,0,0
681,18,MIL,Kevin Brooks,LA-Lafayette,3,126,1031,417,141,48,.401,.200,.859,8.2,3.3,1.1,0.4,-0.1,-.004,-5.9,-1.0,1991,198cm,90kg,1969-10-12,Small Forward,Small Forward,Small Forward,0,0,0,0
682,19,WSB,LaBradford Smith,Louisville,3,183,3131,1218,271,394,.432,.298,.813,17.1,6.7,1.5,2.2,1.5,.024,-3.6,-1.2,1991,190cm,90kg,1969-04-03,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
683,20,HOU,John Turner,Phillips University,1,42,345,117,78,12,.439,,.525,8.2,2.8,1.9,0.3,-0.1,-.021,-7.9,-0.5,1991,203cm,111kg,1967-11-30,Small Forward,Small Forward,Small Forward,0,0,0,0
684,21,UTA,Eric Murdock,Providence,9,508,11882,5118,1261,2467,.438,.343,.786,23.4,10.1,2.5,4.9,25.6,.103,2.0,12.1,1991,185cm,86kg,1968-06-14,Point Guard,Point Guard,Point Guard,0,0,0,0
685,22,LAC,LeRon Ellis,Syracuse,3,91,857,277,220,29,.433,,.613,9.4,3.0,2.4,0.3,1.2,.069,-3.5,-0.3,1991,206cm,102kg,1969-04-28,Center,Center,Center,0,0,0,0
686,23,ORL,Stanley Roberts,LSU,8,300,5869,2555,1549,189,.499,.000,.514,19.6,8.5,5.2,0.6,8.1,.066,-3.4,-2.0,1991,213cm,129kg,1970-02-07,Center,Center,Center,0,0,0,0
687,24,BOS,Rick Fox,UNC,13,930,23723,8966,3517,2649,.450,.349,.770,25.5,9.6,3.8,2.8,44.7,.090,0.0,11.7,1991,201cm,104kg,1969-07-24,Small Forward,Small Forward,Small Forward,0,0,0,0
688,25,GSW,Shaun Vandiver,Colorado,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
689,26,CHI,Mark Randall,Kansas,4,127,883,332,160,56,.443,.154,.722,7.0,2.6,1.3,0.4,1.0,.054,-3.3,-0.3,1991,203cm,106kg,1967-09-30,Power Forward,Power Forward,Power Forward,0,0,0,0
690,27,SAC,Pete Chilcutt,UNC,9,584,8394,2494,1935,488,.441,.381,.696,14.4,4.3,3.3,0.8,10.6,.060,-1.8,0.3,1991,208cm,104kg,1968-09-14,Power Forward,Power Forward,Power Forward,0,0,0,0
691,28,CHH,Kevin Lynch,Minnesota,2,95,1143,310,120,108,.436,.333,.726,12.0,3.3,1.3,1.1,0.4,.016,-4.4,-0.7,1991,196cm,88kg,1968-12-24,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
692,29,MIA,George Ackles,UNLV,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
693,30,ATL,Rodney Monroe,NC State,1,38,313,131,33,27,.368,.222,.826,8.2,3.4,0.9,0.7,-0.2,-.035,-5.3,-0.3,1991,190cm,83kg,1968-04-16,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
694,31,SAC,Randy Brown,New Mexico State,12,655,11533,3148,1173,1420,.417,.200,.691,17.6,4.8,1.8,2.2,11.0,.046,-1.9,0.2,1991,188cm,86kg,1968-05-22,Point Guard,Point Guard,Point Guard,0,0,0,0
695,32,PHO,Chad Gallagher,Creighton,1,2,3,6,0,0,1.000,,,1.5,3.0,0.0,0.0,0.1,1.442,30.1,0.0,1991,208cm,115kg,1969-05-30,Center,Center,Center,0,0,0,0
696,33,DAL,Donald Hodge,Temple,5,249,3501,1182,809,191,.437,.286,.711,14.1,4.7,3.2,0.8,1.8,.025,-4.2,-2.0,1991,213cm,104kg,1969-02-25,Center,Power Forward,Center,0,0,0,0
697,34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1,4,23,9,3,6,.667,.333,,5.8,2.3,0.8,1.5,0.0,.032,-1.8,0.0,1991,190cm,81kg,1969-11-03,Point Guard,Point Guard,Point Guard,0,0,0,0
698,35,DAL,Mike Iuzzolino,Saint Francis University,2,122,3049,1096,238,522,.457,.404,.798,25.0,9.0,2.0,4.3,3.7,.058,-1.9,0.1,1991,178cm,79kg,1968-01-22,Point Guard,Point Guard,Point Guard,0,0,0,0
699,36,ORL,Chris Corchiani,NC State,3,112,1313,416,129,243,.421,.269,.816,11.7,3.7,1.2,2.2,1.6,.058,-1.8,0.1,1991,183cm,83kg,1968-03-28,Point Guard,Point Guard,Point Guard,0,0,0,0
700,37,LAC,Elliot Perry,Memphis,10,549,9501,3449,742,1699,.459,.359,.783,17.3,6.3,1.4,3.1,14.0,.071,-0.5,3.6,1991,183cm,68kg,1969-03-28,Point Guard,Point Guard,Point Guard,0,0,0,0
701,38,LAC,Joe Wylie,Miami (FL),,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
702,39,CLE,Jimmy Oliver,Purdue,5,78,856,331,80,55,.407,.340,.772,11.0,4.2,1.0,0.7,0.3,.018,-4.7,-0.6,1991,196cm,92kg,1969-07-12,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
703,40,DET,Doug Overton,La Salle,11,499,7275,2253,654,1038,.412,.319,.816,14.6,4.5,1.3,2.1,2.5,.016,-3.9,-3.5,1991,190cm,86kg,1969-08-03,Point Guard,Point Guard,Point Guard,0,0,0,0
704,41,IND,Sean Green,Iona College,3,84,671,352,85,45,.386,.246,.620,8.0,4.2,1.0,0.5,-1.3,-.095,-7.0,-0.8,1991,196cm,95kg,1970-02-02,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
705,42,SAC,Steve Hood,James Madison University,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
706,43,GSW,Lamont Strothers,Christopher Newport University,2,13,155,60,15,14,.329,.133,.714,11.9,4.6,1.2,1.1,-0.5,-.142,-7.7,-0.2,1991,193cm,86kg,1968-05-10,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
707,44,PHI,Alvaro Teheran,Houston,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
708,45,MIL,Bobby Phills,Southern University and A&M College,9,467,13426,5153,1469,1246,.443,.390,.738,28.7,11.0,3.1,2.7,27.2,.097,0.2,7.4,1991,196cm,95kg,1969-12-20,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
709,46,PHO,Richard Dumas,Oklahoma State,3,102,2226,1080,351,111,.509,.231,.694,21.8,10.6,3.4,1.1,4.5,.097,-0.2,1.0,1991,201cm,90kg,1969-05-19,Power Forward,Small Forward,Power Forward,0,0,0,0
710,47,HOU,Keith Hughes,Rutgers University,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
711,48,UTA,Isaac Austin,Arizona State,9,432,8350,3285,2030,538,.446,.176,.670,19.3,7.6,4.7,1.2,9.2,.053,-2.5,-1.0,1991,208cm,115kg,1969-08-18,Center,Center,Center,0,0,0,0
712,49,SAS,Greg Sutton,Oral Roberts,3,168,1946,761,153,284,.396,.361,.743,11.6,4.5,0.9,1.7,1.0,.024,-3.6,-0.8,1991,188cm,77kg,1967-12-03,Point Guard,Point Guard,Point Guard,0,0,0,0
713,50,PHO,Joey Wright,Texas,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
714,51,HOU,Žan Tabak,,6,247,3607,1233,883,165,.506,.000,.525,14.6,5.0,3.6,0.7,2.4,.032,-4.9,-2.7,1991,213cm,111kg,1970-06-15,Center,Center,Center,0,0,0,0
715,53,NJN,Von McDade,UW-Milwaukee,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
716,54,POR,Marcus Kennedy,Eastern Michigan,,,,,,,,,,,,,,,,,,1991,,,,,,,,,,
717,1,ORL,Shaquille O'Neal,LSU,19,1207,41918,28596,13099,3026,.582,.045,.527,34.7,23.7,10.9,2.5,181.7,.208,5.1,75.5,1992,216cm,147kg,1972-03-06,Center,Center,Center,15,14,3,Hall of Fame
718,2,CHH,Alonzo Mourning,Georgetown,15,838,25975,14311,7137,946,.527,.247,.692,31.0,17.1,8.5,1.1,89.7,.166,2.2,27.6,1992,208cm,108kg,1970-02-08,Center,Power Forward,Center,7,2,2,Hall of Fame
719,3,MIN,Christian Laettner,Duke,13,868,25760,11121,5806,2224,.480,.261,.820,29.7,12.8,6.7,2.6,64.9,.121,1.0,19.5,1992,211cm,106kg,1969-08-17,Center,Power Forward,Center,1,0,0,0
720,4,DAL,Jim Jackson,Ohio State,14,885,29067,12690,4152,2851,.428,.365,.825,32.8,14.3,4.7,3.2,35.8,.059,-0.9,8.2,1992,198cm,99kg,1970-10-14,Small Forward,Shooting Guard,Small Forward,0,0,0,0
721,5,DEN,LaPhonso Ellis,Notre Dame,11,624,17616,7410,4032,981,.452,.302,.730,28.2,11.9,6.5,1.6,32.8,.089,-1.0,4.6,1992,203cm,108kg,1970-05-05,Power Forward,Small Forward,Power Forward,0,0,0,0
722,6,WSB,Tom Gugliotta,NC State,13,763,23556,9895,5589,2140,.451,.284,.757,30.9,13.0,7.3,2.8,40.2,.082,0.6,15.3,1992,208cm,108kg,1969-12-19,Power Forward,Small Forward,Power Forward,1,0,0,0
723,7,SAC,Walt Williams,Maryland,11,708,18818,8385,2794,1637,.425,.379,.743,26.6,11.8,3.9,2.3,33.9,.087,0.5,11.7,1992,203cm,99kg,1970-04-16,Small Forward,Small Forward,Small Forward,0,0,0,0
724,8,MIL,Todd Day,Arkansas,8,483,12214,5917,1649,713,.406,.345,.739,25.3,12.3,3.4,1.5,17.5,.069,-0.9,3.4,1992,198cm,85kg,1970-01-07,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
725,9,PHI,Clarence Weatherspoon,University of Southern Mississippi,13,915,27736,10483,6846,1346,.471,.196,.743,30.3,11.5,7.5,1.5,58.4,.101,-0.3,11.8,1992,198cm,108kg,1970-09-08,Power Forward,Small Forward,Power Forward,0,0,0,0
726,10,ATL,Adam Keefe,Stanford,9,617,10334,3107,2556,427,.502,.071,.714,16.7,5.0,4.1,0.7,24.9,.116,-1.3,1.7,1992,206cm,104kg,1970-02-22,Center,Power Forward,Small Forward,0,0,0,0
727,11,HOU,Robert Horry,Alabama,16,1107,27069,7715,5269,2343,.425,.341,.726,24.5,7.0,4.8,2.1,66.3,.118,1.9,26.4,1992,206cm,99kg,1970-08-25,Power Forward,Small Forward,Power Forward,0,0,0,0
728,12,MIA,Harold Miner,USC,4,200,3748,1801,432,245,.460,.311,.785,18.7,9.0,2.2,1.2,4.2,.053,-3.0,-0.9,1992,196cm,95kg,1971-05-05,Point Guard,Shooting Guard,Point Guard,0,0,0,0
729,13,DEN,Bryant Stith,Virginia,10,586,16417,5946,1983,1178,.424,.329,.841,28.0,10.1,3.4,2.0,29.5,.086,-0.8,4.9,1992,196cm,94kg,1970-12-10,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
730,14,IND,Malik Sealy,St. John's,8,493,11720,4955,1585,816,.426,.292,.809,23.8,10.1,3.2,1.7,17.1,.070,-1.2,2.2,1992,203cm,86kg,1970-02-01,Small Forward,Shooting Guard,Small Forward,0,0,0,0
731,15,LAL,Anthony Peeler,Missouri,13,827,20464,8017,2136,1956,.427,.384,.799,24.7,9.7,2.6,2.4,30.7,.072,-0.7,6.6,1992,193cm,94kg,1969-11-25,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
732,16,LAC,Randy Woods,La Salle,4,151,1093,356,93,257,.340,.305,.683,7.2,2.4,0.6,1.7,0.6,.026,-1.5,0.1,1992,178cm,83kg,1970-09-23,Point Guard,Point Guard,Point Guard,0,0,0,0
733,17,SEA,Doug Christie,Pepperdine,15,827,26079,9301,3382,2992,.426,.354,.821,31.5,11.2,4.1,3.6,55.7,.102,1.1,20.7,1992,198cm,90kg,1970-05-09,Small Forward,Shooting Guard,Small Forward,0,0,4,0
734,18,SAS,Tracy Murray,UCLA,12,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096,-0.1,5.8,1992,201cm,102kg,1971-07-25,Small Forward,Small Forward,Small Forward,0,0,0,0
735,19,DET,Don MacLean,UCLA,9,319,6679,3490,1210,404,.455,.284,.765,20.9,10.9,3.8,1.3,9.4,.067,-2.5,-0.9,1992,208cm,106kg,1970-01-16,Power Forward,Small Forward,Power Forward,0,0,0,0
736,20,NYK,Hubert Davis,UNC,12,685,15143,5583,1045,1172,.458,.441,.837,22.1,8.2,1.5,1.7,27.7,.088,-0.9,4.2,1992,196cm,83kg,1970-05-17,Point Guard,Shooting Guard,Point Guard,0,0,0,0
737,21,BOS,Jon Barry,Georgia Tech,14,821,13880,4715,1513,1784,.434,.392,.848,16.9,5.7,1.8,2.2,37.2,.129,1.8,13.4,1992,193cm,88kg,1969-07-25,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
738,22,PHO,Oliver Miller,Arkansas,9,493,11338,3625,2893,1061,.534,.116,.639,23.0,7.4,5.9,2.2,21.1,.089,0.6,7.4,1992,206cm,127kg,1970-04-06,Center,Power Forward,Center,0,0,0,0
739,23,MIL,Lee Mayberry,Arkansas,7,496,10337,2546,642,1767,.415,.377,.659,20.8,5.1,1.3,3.6,7.9,.036,-2.9,-2.3,1992,185cm,78kg,1970-06-12,Point Guard,Point Guard,Point Guard,0,0,0,0
740,24,GSW,Latrell Sprewell,Alabama,13,913,35270,16712,3724,3664,.425,.337,.804,38.6,18.3,4.1,4.0,56.3,.077,0.4,21.0,1992,196cm,86kg,1970-09-08,Small Forward,Shooting Guard,Small Forward,4,0,0,0
741,25,LAC,Elmore Spencer,UNLV,5,157,2641,923,555,109,.516,.000,.580,16.8,5.9,3.5,0.7,0.0,.001,-4.6,-1.7,1992,213cm,122kg,1969-12-06,Center,Center,Center,0,0,0,0
742,26,POR,Dave Johnson,Syracuse,2,59,475,204,64,17,.365,.200,.663,8.1,3.5,1.1,0.3,-0.3,-.032,-8.2,-0.7,1992,201cm,95kg,1970-11-16,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
743,27,CHI,Byron Houston,Oklahoma State,4,214,2674,835,648,114,.456,.256,.676,12.5,3.9,3.0,0.5,3.9,.069,-3.9,-1.3,1992,196cm,113kg,1969-11-22,Power Forward,Power Forward,Power Forward,0,0,0,0
744,28,MIN,Marlon Maxey,Texas-El Paso,2,98,1146,479,363,22,.542,.000,.685,11.7,4.9,3.7,0.2,2.6,.109,-3.0,-0.3,1992,203cm,113kg,1969-02-19,Power Forward,Power Forward,Power Forward,0,0,0,0
745,29,NJN,P.J. Brown,Louisiana Tech,15,1089,33823,9870,8409,1661,.460,.136,.794,31.1,9.1,7.7,1.5,89.8,.128,0.0,17.4,1992,211cm,102kg,1969-10-14,Center,Power Forward,Center,0,0,3,0
746,30,DAL,Sean Rooks,Arizona,12,749,13560,4676,2877,631,.459,.091,.699,18.1,6.2,3.8,0.8,16.2,.057,-2.9,-3.1,1992,208cm,113kg,1969-09-09,Center,Center,Center,0,0,0,0
747,31,POR,Reggie Smith,TCU,2,66,384,99,120,5,.394,.000,.404,5.8,1.5,1.8,0.1,0.4,.051,-5.1,-0.3,1992,208cm,108kg,1970-08-21,Center,Power Forward,Center,0,0,0,0
748,32,WSB,Brent Price,Oklahoma,9,418,7007,2481,684,1236,.426,.387,.824,16.8,5.9,1.6,3.0,12.0,.082,-0.8,2.2,1992,185cm,74kg,1968-12-09,Point Guard,Point Guard,Point Guard,0,0,0,0
749,33,CHI,Corey Williams,Oklahoma State,2,39,288,92,37,29,.367,.250,.826,7.4,2.4,0.9,0.7,0.2,.037,-5.6,-0.3,1992,188cm,86kg,1970-04-24,Point Guard,Point Guard,Point Guard,0,0,0,0
750,34,MIN,Chris Smith,UConn,3,224,3956,1140,291,627,.435,.366,.713,17.7,5.1,1.3,2.8,3.2,.039,-2.3,-0.3,1992,190cm,86kg,1970-05-17,Point Guard,Shooting Guard,Point Guard,0,0,0,0
751,35,CHH,Tony Bennett,Green Bay,3,152,1886,538,155,303,.412,.335,.732,12.4,3.5,1.0,2.0,1.6,.041,-2.7,-0.3,1992,183cm,79kg,1969-06-01,Point Guard,Point Guard,Point Guard,0,0,0,0
752,36,LAL,Duane Cooper,USC,2,88,781,204,59,178,.402,.216,.720,8.9,2.3,0.7,2.0,-0.5,-.032,-6.1,-0.8,1992,185cm,83kg,1969-06-25,Point Guard,Point Guard,Point Guard,0,0,0,0
753,37,MIA,Isaiah Morris,Arkansas,1,25,102,55,12,4,.456,,.750,4.1,2.2,0.5,0.2,0.0,-.022,-5.7,-0.1,1992,203cm,103kg,1969-04-02,Small Forward,Small Forward,Small Forward,0,0,0,0
754,38,ATL,Elmer Bennett,Notre Dame,3,21,159,48,10,22,.340,.273,.722,7.6,2.3,0.5,1.0,-0.3,-.095,-6.9,-0.2,1992,183cm,77kg,1970-02-13,Point Guard,Point Guard,Point Guard,0,0,0,0
